longitude,latitude,mode,mode_name,mode_num
123.410242,41.72715,地铁,长白南(地铁站),9
123.344612,41.760797,地铁,吉力湖街(地铁站),9
123.331973,41.805072,地铁,重工街(地铁站),1
123.501572,41.744319,地铁,长青南街(地铁站),9
123.347148,41.750949,地铁,大通湖街(地铁站),9
123.461955,41.719789,地铁,世纪大厦(地铁站),2
123.372388,41.726716,地铁,浑河站(地铁站),9
123.516113,41.747294,地铁,建筑大学(地铁站),9
123.361366,41.732254,地铁,曹仲(地铁站),9
123.309668,41.801583,地铁,迎宾路(地铁站),1
123.415607,41.8864,地铁,医学院(地铁站),2
123.47168,41.709422,地铁,白塔河路(地铁站),2
123.305135,41.781118,地铁,开发大道(地铁站),1
123.482502,41.707485,地铁,全运路(地铁站),2
123.294099,41.771936,地铁,张士(地铁站),1
123.409145,41.907692,地铁,师范大学(地铁站),2
123.277277,41.766026,地铁,四号街(地铁站),1
123.25934,41.765381,地铁,七号街(地铁站),1
123.242537,41.765395,地铁,中央大街(地铁站),1
123.230509,41.765462,地铁,十三号街(地铁站),1
123.39044,41.829748,地铁,淮河街沈医二院(地铁站),9
123.393711,41.929389,地铁,辽宁大学(地铁站),2
123.398316,41.93661,地铁,人杰湖公园(地铁站),2
123.408584,41.946825,地铁,蒲河路(地铁站),2
123.405529,41.956447,地铁,蒲田路(地铁站),2
123.363655,42.038017,公交,加油站(公交站),
122.837029,41.994556,公交,湖广公园南门(公交站),
123.455414,41.614414,公交,河沿村(公交站),
123.355919,42.020161,公交,创业(公交站),
123.308731,42.07296,公交,单家(公交站),
123.354256,42.736027,公交,荣鹏商厦(公交站),
123.418259,42.015392,公交,75中学(公交站),
123.166634,41.969627,公交,老边乡(公交站),
123.325745,41.930908,公交,平罗三村(公交站),
123.658714,41.720608,公交,招呼站(公交站),
123.491196,41.596237,公交,沙河村(公交站),
123.360329,42.048252,公交,金立得驾校(公交站),
123.326851,42.061104,公交,大屯(公交站),
123.348106,42.047337,公交,小营子(公交站),
122.82959,42.006954,公交,西北街派出所(公交站),
123.23806,42.000969,公交,双树(公交站),
123.336365,41.622368,公交,东大产业园(公交站),
123.205482,41.769089,公交,中色泵业(公交站),
123.496017,42.016289,公交,高力屯村(公交站),
123.329605,42.059345,公交,叶家(公交站),
123.516945,41.600239,公交,上头子(公交站),
123.421661,42.015499,公交,财落(公交站),
123.61113,41.646271,公交,李相镇(公交站),
123.362762,42.037682,公交,尹家牌楼(公交站),
123.381958,41.583218,公交,北乱木村(公交站),
123.216469,41.887596,公交,曹台道口(公交站),
123.515709,41.603462,公交,空心砖厂(招呼站)(公交站),
123.354317,42.733784,公交,税务局(公交站),
123.686127,41.99361,公交,董楼子(公交站),
123.559494,41.6968,公交,东陵殡仪馆(公交站),
123.520363,41.584454,公交,小朱庄子(公交站),
123.355263,42.725197,公交,第一城(公交站),
123.353539,42.742798,公交,康平影剧院(公交站),
123.346664,41.68539,公交,迎春街冬青街(公交站),
123.209564,41.777054,公交,沈车劳服(公交站),
123.32505,41.669399,公交,桃李面包厂站(公交站),
123.532684,41.942322,公交,伍尔特工业园(公交站),
122.842949,41.998611,公交,临时站(公交站),
123.208244,41.896015,公交,东大林(公交站),
123.237679,41.898884,公交,马三家火车站(公交站),
122.67347,41.520756,公交,电管站(公交站),
123.334045,41.879921,公交,看守所(公交站),
123.729477,41.865543,公交,晓仁境村(公交站),
123.338898,41.630051,公交,铝合金加工厂(公交站),
123.354317,42.734215,公交,邮局(公交站),
122.829437,41.987915,公交,文荟苑(公交站),
123.339714,41.656536,公交,河畔一期北门(公交站),
123.293922,42.08242,公交,盘古台(公交站),
123.373596,41.981064,公交,新开道(公交站),
123.392593,41.955685,公交,弓匠村(公交站),
123.51619,41.573692,公交,食品厂(临时站)(公交站),
123.505409,41.604191,公交,桃木西(招呼站)(公交站),
123.181168,41.832733,公交,诺木珲(公交站),
123.516808,41.573864,公交,食品厂(公交站),
123.344139,41.881897,公交,文大路沈通高速(公交站),
123.35408,42.739498,公交,县医院(公交站),
123.392029,41.723911,公交,浑南西路胜利大街站(公交站),
